Participant,Session,List,Task,Word,Time,Score
4,2,B,Adaptive,esperu,Retention,0
4,2,B,Adaptive,escaru,Retention,1
4,2,B,Adaptive,esturu,Retention,1
4,2,B,Adaptive,imtoru,Retention,0
4,2,B,Adaptive,netoru,Retention,1
4,2,B,Adaptive,rotoru,Retention,0
5,2,A,Static,patito,Immediate,1
5,2,A,Static,patira,Immediate,0
5,2,A,Static,patizi,Immediate,1
5,2,A,Static,pacore,Immediate,1
5,2,A,Static,panire,Immediate,1
5,2,A,Static,pahare,Immediate,1
5,2,A,Static,detire,Immediate,0
5,2,A,Static,cotire,Immediate,1
5,2,A,Static,sutire,Immediate,1
5,2,A,Static,socuo,Immediate,1
5,2,A,Static,socuti,Immediate,1
5,2,A,Static,socule,Immediate,1
5,2,A,Static,soiata,Immediate,1
5,2,A,Static,sorta,Immediate,1
5,2,A,Static,soetta,Immediate,1
5,2,A,Static,ficuta,Immediate,1
5,2,A,Static,scuta,Immediate,1
5,2,A,Static,pecuta,Immediate,1
5,2,A,Static,anbera,Immediate,1
5,2,A,Static,anbetu,Immediate,1
5,2,A,Static,anbesi,Immediate,0
5,2,A,Static,ancano,Immediate,1
5,2,A,Static,andono,Immediate,1
5,2,A,Static,anuino,Immediate,1
5,2,A,Static,rebeno,Immediate,1
5,2,A,Static,sibeno,Immediate,1
5,2,A,Static,cubeno,Immediate,1
5,2,A,Static,patito,Retention,1
5,2,A,Static,patira,Retention,0
5,2,A,Static,patizi,Retention,1
5,2,A,Static,pacore,Retention,1
5,2,A,Static,panire,Retention,1
5,2,A,Static,pahare,Retention,1
5,2,A,Static,detire,Retention,0
5,2,A,Static,cotire,Retention,1
5,2,A,Static,sutire,Retention,1
5,2,A,Static,socuo,Retention,0
5,2,A,Static,socuti,Retention,1
5,2,A,Static,socule,Retention,1
5,2,A,Static,soiata,Retention,1
5,2,A,Static,sorta,Retention,1
5,2,A,Static,soetta,Retention,1
5,2,A,Static,ficuta,Retention,1
5,2,A,Static,scuta,Retention,1
5,2,A,Static,pecuta,Retention,0
5,2,A,Static,anbera,Retention,1
5,2,A,Static,anbetu,Retention,1
5,2,A,Static,anbesi,Retention,0
5,2,A,Static,ancano,Retention,0
5,2,A,Static,andono,Retention,0
5,2,A,Static,anuino,Retention,1
5,2,A,Static,rebeno,Retention,1
5,2,A,Static,sibeno,Retention,1
5,2,A,Static,cubeno,Retention,1
5,1,B,Adaptive,chareka,Immediate,0
5,1,B,Adaptive,charezo,Immediate,1
5,1,B,Adaptive,charete,Immediate,0
5,1,B,Adaptive,chauri,Immediate,1
5,1,B,Adaptive,chakori,Immediate,0
5,1,B,Adaptive,chamari,Immediate,1
5,1,B,Adaptive,lireri,Immediate,1
5,1,B,Adaptive,moreri,Immediate,1
5,1,B,Adaptive,apreri,Immediate,1
5,1,B,Adaptive,fiante,Immediate,1
5,1,B,Adaptive,fiani,Immediate,0
5,1,B,Adaptive,fianca,Immediate,1
5,1,B,Adaptive,fipito,Immediate,0
5,1,B,Adaptive,fiato,Immediate,1
5,1,B,Adaptive,fimuto,Immediate,0
5,1,B,Adaptive,canto,Immediate,1
5,1,B,Adaptive,esanto,Immediate,1
5,1,B,Adaptive,peanto,Immediate,1
5,1,B,Adaptive,estome,Immediate,1
5,1,B,Adaptive,estowa,Immediate,1
5,1,B,Adaptive,estosi,Immediate,1
5,1,B,Adaptive,esperu,Immediate,0
5,1,B,Adaptive,escaru,Immediate,0
5,1,B,Adaptive,esturu,Immediate,0
5,1,B,Adaptive,imtoru,Immediate,0
5,1,B,Adaptive,netoru,Immediate,1
5,1,B,Adaptive,rotoru,Immediate,1
5,1,B,Adaptive,chareka,Retention,0
5,1,B,Adaptive,charezo,Retention,1
5,1,B,Adaptive,charete,Retention,0
5,1,B,Adaptive,chauri,Retention,1
